molecule_chembl_id,canonical_smiles,pIC50,class,MW,LogP,NHDonnors,NHAcceptors
CHEMBL300209,CN(C)CCc1c[nH]c2ccc(Cc3nnn[nH]3)cc12,7.199970640755866,active,270.34000000000003,1.3758999999999997,2,4
CHEMBL54265,CN(C)CCc1c[nH]c2ccc(-n3cncn3)cc12,7.599980364934842,active,255.32500000000002,1.8527,1,4
CHEMBL53764,Cc1nccn1-c1ccc2[nH]cc(CCN(C)C)c2c1,7.199970640755866,active,268.364,2.766120000000001,1,3
CHEMBL299213,CCn1nnc(Cc2ccc3[nH]cc(CCN(C)C)c3c2)n1,6.299997602857746,active,298.394,1.8692,1,5
CHEMBL53128,CN(C)CCc1c[nH]c2ccc(Cc3nnnn3C)cc12,6.699991797446187,active,284.367,1.3862999999999996,1,5
CHEMBL53467,CN(C)CCc1c[nH]c2ccc(Cn3ncnn3)cc12,6.699991797446187,active,270.34000000000003,1.3068,1,5
CHEMBL128,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,6.299997602857746,active,295.408,1.3211999999999997,2,3
CHEMBL52912,CN(C)CCc1c[nH]c2ccc(Cn3ccnc3)cc12,6.799998134593398,active,268.36400000000003,2.516800000000001,1,3
CHEMBL54103,CN(C)CCc1c[nH]c2ccc(Cc3nncn3C)cc12,6.499996931948306,active,283.379,1.9912999999999998,1,4
CHEMBL52264,CN(C)CCc1c[nH]c2ccc(Cc3ncnn3C)cc12,6.499996931948306,active,283.379,1.9912999999999998,1,4
CHEMBL905,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,6.499996931948306,active,269.35200000000003,1.9118000000000002,1,4
CHEMBL53485,CN(C)CCc1c[nH]c2ccc(Cn3cnnn3)cc12,6.799998134593398,active,270.34000000000003,1.3068,1,5
CHEMBL50834,CCn1nnnc1Cc1ccc2[nH]cc(CCN(C)C)c2c1,6.499996931948306,active,298.39400000000006,1.8692,1,5
CHEMBL298544,CN(C)CCc1c[nH]c2ccc(Cc3nnn(C)n3)cc12,6.199998172182031,active,284.367,1.3862999999999996,1,5
CHEMBL53349,Cc1nccn1Cc1ccc2[nH]cc(CCN(C)C)c2c1,6.499996931948306,active,282.391,2.8252200000000007,1,3
CHEMBL50837,CN(C)CCc1c[nH]c2ccc(Cn3ccnn3)cc12,6.900008766455315,active,269.35200000000003,1.9118,1,4
CHEMBL39243,CN(C)CCc1c[nH]c2ccc(Cc3nc(N)no3)cc12,6.499996931948306,active,285.351,1.8279999999999998,2,5
CHEMBL26560,CCCN1CC[C@H]2c3cccc(O)c3CC[C@H]21,6.0,intermediate,231.33899999999997,2.9063000000000017,1,2
CHEMBL37462,CN(C)CCc1c[nH]c2ccc(Cc3nc(N)ns3)cc12,7.299988937677888,active,301.419,2.2965,2,5
CHEMBL39331,COc1ccc(Cc2noc(-c3ccc4[nH]cc(CCN)c4c3)n2)cc1,8.299988937677888,active,348.4060000000001,3.318500000000001,2,5
CHEMBL18710,CN(C)CCc1coc2ccc(C(N)=O)cc12,8.040005161671584,active,232.283,1.6358,1,3
CHEMBL290587,CN(C)CCc1c[nH]c2ccc(CCc3nc(N)no3)cc12,7.299988937677888,active,299.378,2.0224,2,5
CHEMBL288821,NCCc1c[nH]c2ccc(-c3nc(Cc4ccccc4)no3)cc12,7.899974269892137,active,318.38,3.3099000000000016,2,4
CHEMBL39712,Cc1noc(Cc2ccc3[nH]cc(CCN)c3c2)n1,6.399996913372259,active,256.30899999999997,1.95132,2,4
